Dataset,Evaluation_Level,Fold,Checkpoint,Availability_Mask,Condition,Available_Modalities,Missing_Modalities,Missing_Count,Region,Cases,Metric_N,Dice,IoU,HD95_mm,ASSD_mm,Overall_Mean_Dice,Overall_Dice_Retention,Aggregation
BraTS2021,Fold,2,checkpoint_best.pth,1000,drop_t1_t1ce_t2,FLAIR,T1ce+T1+T2,3,TC,250,250,0.7348019106678829,0.6166190319191877,5.9314624386668,,0.7342146516884109,0.8088027276496648,Fold case mean; NaN excluded
BraTS2021,Fold,2,checkpoint_best.pth,1000,drop_t1_t1ce_t2,FLAIR,T1ce+T1+T2,3,ET,250,250,0.5577320677442364,0.4135775825944761,7.226895946606758,,0.7342146516884109,0.8088027276496648,Fold case mean; NaN excluded
BraTS2021,Fold,2,checkpoint_best.pth,0100,drop_t1_t2_flair,T1ce,FLAIR+T1+T2,3,WT,250,250,0.7915575832082092,0.6765131414458562,6.821907068653037,,0.8428979114319052,0.9285270027349568,Fold case mean; NaN excluded
BraTS2021,Fold,2,checkpoint_best.pth,0100,drop_t1_t2_flair,T1ce,FLAIR+T1+T2,3,TC,250,250,0.8898793422623944,0.8326953655650534,3.290815939794689,,0.8428979114319052,0.9285270027349568,Fold case mean; NaN excluded
BraTS2021,Fold,2,checkpoint_best.pth,0100,drop_t1_t2_flair,T1ce,FLAIR+T1+T2,3,ET,250,250,0.8472568088251119,0.7708441756759422,3.212961467228986,,0.8428979114319052,0.9285270027349568,Fold case mean; NaN excluded
BraTS2021,Fold,2,checkpoint_best.pth,0010,drop_t1ce_t2_flair,T1,FLAIR+T1ce+T2,3,WT,250,250,0.7728986866618373,0.6533064771788247,8.127539944257252,,0.6525335835452245,0.7188237677370208,Fold case mean; NaN excluded
BraTS2021,Fold,2,checkpoint_best.pth,0010,drop_t1ce_t2_flair,T1,FLAIR+T1ce+T2,3,TC,250,250,0.6785456216565514,0.5557978453021174,9.34110847553403,,0.6525335835452245,0.7188237677370208,Fold case mean; NaN excluded
BraTS2021,Fold,2,checkpoint_best.pth,0010,drop_t1ce_t2_flair,T1,FLAIR+T1ce+T2,3,ET,250,250,0.5061564423172848,0.3650092553159862,10.568982905051785,,0.6525335835452245,0.7188237677370208,Fold case mean; NaN excluded
BraTS2021,Fold,2,checkpoint_best.pth,0001,drop_t1_t1ce_flair,T2,FLAIR+T1ce+T1,3,WT,250,250,0.8782192538865945,0.7939856509309686,3.796152466304125,,0.7253277601773324,0.7990130263981875,Fold case mean; NaN excluded
BraTS2021,Fold,2,checkpoint_best.pth,0001,drop_t1_t1ce_flair,T2,FLAIR+T1ce+T1,3,TC,250,250,0.7318402665845161,0.6139989317740348,6.437695116671373,,0.7253277601773324,0.7990130263981875,Fold case mean; NaN excluded
BraTS2021,Fold,2,checkpoint_best.pth,0001,drop_t1_t1ce_flair,T2,FLAIR+T1ce+T1,3,ET,250,250,0.5659237600608867,0.4208323858955605,7.535678327905573,,0.7253277601773324,0.7990130263981875,Fold case mean; NaN excluded
BraTS2021,Fold,2,checkpoint_best.pth,1100,drop_t1_t2,FLAIR+T1ce,T1+T2,2,WT,250,250,0.9272440476070772,0.8720741849357551,1.6492996713081227,,0.9040768974115636,0.9959210960309696,Fold case mean; NaN excluded
BraTS2021,Fold,2,checkpoint_best.pth,1100,drop_t1_t2,FLAIR+T1ce,T1+T2,2,TC,250,250,0.9166941493758548,0.8656264990834639,1.5835958955175216,,0.9040768974115636,0.9959210960309696,Fold case mean; NaN excluded
BraTS2021,Fold,2,checkpoint_best.pth,1100,drop_t1_t2,FLAIR+T1ce,T1+T2,2,ET,250,250,0.8682924952517586,0.7981928962851066,1.8632006454903247,,0.9040768974115636,0.9959210960309696,Fold case mean; NaN excluded
BraTS2021,Fold,2,checkpoint_best.pth,1010,drop_t1ce_t2,FLAIR+T1,T1ce+T2,2,WT,250,250,0.9190259226639094,0.8602941766284842,1.933726989958372,,0.7618069615974191,0.8391981106146339,Fold case mean; NaN excluded
BraTS2021,Fold,2,checkpoint_best.pth,1010,drop_t1ce_t2,FLAIR+T1,T1ce+T2,2,TC,250,250,0.7669519368168064,0.6563271826754642,5.256853141771011,,0.7618069615974191,0.8391981106146339,Fold case mean; NaN excluded
